Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
303,Entry long,2025-04-28 00:50,W-Long,3307.3,1,33073,-60,-0.18,41.5,0.13,-58.5,-0.18,-863,-1.73
304,Exit long,2025-04-29 20:20,WL-X,3328.7,1,33337,-53,-0.16,2.5,0.01,-51.5,-0.15,-916,-1.83
304,Entry long,2025-04-29 20:15,W-Long,3333.7,1,33337,-53,-0.16,2.5,0.01,-51.5,-0.15,-916,-1.83
305,Exit long,2025-05-02 00:55,WL-X,3259.6,1,32641,-48,-0.15,19.5,0.06,-46.5,-0.14,-964,-1.93
305,Entry long,2025-05-02 00:05,W-Long,3264.1,1,32641,-48,-0.15,19.5,0.06,-46.5,-0.14,-964,-1.93
306,Exit long,2025-05-02 01:45,WL-X,3260.1,1,32641,-43,-0.13,0.5,0.00,-41.5,-0.13,-1007,-2.01
306,Entry long,2025-05-02 01:40,W-Long,3264.1,1,32641,-43,-0.13,0.5,0.00,-41.5,-0.13,-1007,-2.01
307,Exit long,2025-05-04 20:35,WL-X,3250,1,32546,-49,-0.15,46.5,0.14,-47.5,-0.15,-1056,-2.11
307,Entry long,2025-05-04 19:35,W-Long,3254.6,1,32546,-49,-0.15,46.5,0.14,-47.5,-0.15,-1056,-2.11
308,Exit long,2025-05-04 21:30,WL-X,3274.4,1,32595,146,0.45,147.5,0.45,-1.5,0.00,-910,-1.82
308,Entry long,2025-05-04 21:05,W-Long,3259.5,1,32595,146,0.45,147.5,0.45,-1.5,0.00,-910,-1.82
309,Exit long,2025-05-06 15:50,WL-X,3430.4,1,34113,188,0.55,189.5,0.56,-12.5,-0.04,-722,-1.44
309,Entry long,2025-05-06 12:25,W-Long,3411.3,1,34113,188,0.55,189.5,0.56,-12.5,-0.04,-722,-1.44
310,Exit long,2025-05-09 01:30,WL-X,3320,1,33264,-67,-0.20,92.5,0.28,-65.5,-0.20,-789,-1.58
310,Entry long,2025-05-09 00:55,W-Long,3326.4,1,33264,-67,-0.20,92.5,0.28,-65.5,-0.20,-789,-1.58
311,Exit long,2025-05-12 20:20,WL-X,3242.8,1,32469,-44,-0.14,7.5,0.02,-42.5,-0.13,-833,-1.67
311,Entry long,2025-05-12 20:10,W-Long,3246.9,1,32469,-44,-0.14,7.5,0.02,-42.5,-0.13,-833,-1.67
312,Exit long,2025-05-13 00:50,WL-X,3257.7,1,32450,124,0.38,125.5,0.39,-5.5,-0.02,-709,-1.42
312,Entry long,2025-05-13 00:35,W-Long,3245,1,32450,124,0.38,125.5,0.39,-5.5,-0.02,-709,-1.42
313,Exit long,2025-05-19 21:45,WL-X,3229.5,1,32355,-63,-0.19,0.5,0.00,-61.5,-0.19,-772,-1.54
313,Entry long,2025-05-19 21:40,W-Long,3235.5,1,32355,-63,-0.19,0.5,0.00,-61.5,-0.19,-772,-1.54
314,Exit long,2025-05-20 18:40,WL-X,3297.3,1,33012,-42,-0.13,66.5,0.20,-40.5,-0.12,-814,-1.63
314,Entry long,2025-05-20 18:10,W-Long,3301.2,1,33012,-42,-0.13,66.5,0.20,-40.5,-0.12,-814,-1.63
315,Exit long,2025-05-21 08:25,WL-X,3298.5,1,33058,-76,-0.23,164.5,0.50,-74.5,-0.23,-890,-1.78
315,Entry long,2025-05-20 22:45,W-Long,3305.8,1,33058,-76,-0.23,164.5,0.50,-74.5,-0.23,-890,-1.78
316,Exit long,2025-05-23 01:50,WL-X,3322.6,1,33096,127,0.38,128.5,0.39,-12.5,-0.04,-763,-1.53
316,Entry long,2025-05-23 00:20,W-Long,3309.6,1,33096,127,0.38,128.5,0.39,-12.5,-0.04,-763,-1.53
317,Exit long,2025-05-25 23:05,WL-X,3345.2,1,33514,-65,-0.19,38.5,0.11,-63.5,-0.19,-828,-1.66
317,Entry long,2025-05-25 22:40,W-Long,3351.4,1,33514,-65,-0.19,38.5,0.11,-63.5,-0.19,-828,-1.66
318,Exit long,2025-05-26 18:30,WL-X,3348.8,1,33406,79,0.24,80.5,0.24,-9.5,-0.03,-749,-1.50
318,Entry long,2025-05-26 12:30,W-Long,3340.6,1,33406,79,0.24,80.5,0.24,-9.5,-0.03,-749,-1.50
319,Exit long,2025-05-26 23:45,WL-X,3341.9,1,33458,-42,-0.13,10.5,0.03,-40.5,-0.12,-791,-1.58
319,Entry long,2025-05-26 23:20,W-Long,3345.8,1,33458,-42,-0.13,10.5,0.03,-40.5,-0.12,-791,-1.58
320,Exit long,2025-05-27 20:55,WL-X,3307.6,1,33108,-35,-0.11,38.5,0.12,-33.5,-0.10,-826,-1.65
320,Entry long,2025-05-27 20:10,W-Long,3310.8,1,33108,-35,-0.11,38.5,0.12,-33.5,-0.10,-826,-1.65
321,Exit long,2025-06-01 20:35,WL-X,3329.3,1,33343,-53,-0.16,53.5,0.16,-51.5,-0.15,-879,-1.76
321,Entry long,2025-06-01 18:55,W-Long,3334.3,1,33343,-53,-0.16,53.5,0.16,-51.5,-0.15,-879,-1.76
322,Exit long,2025-06-02 20:05,WL-X,3407,1,34098,-31,-0.09,77.5,0.23,-29.5,-0.09,-910,-1.82
322,Entry long,2025-06-02 18:05,W-Long,3409.8,1,34098,-31,-0.09,77.5,0.23,-29.5,-0.09,-910,-1.82
323,Exit long,2025-06-03 20:05,WL-X,3379.3,1,33815,-25,-0.07,43.5,0.13,-23.5,-0.07,-935,-1.87
323,Entry long,2025-06-03 18:25,W-Long,3381.5,1,33815,-25,-0.07,43.5,0.13,-23.5,-0.07,-935,-1.87
324,Exit long,2025-06-06 01:20,WL-X,3394.1,1,33973,-35,-0.10,7.5,0.02,-33.5,-0.10,-970,-1.94
324,Entry long,2025-06-06 01:05,W-Long,3397.3,1,33973,-35,-0.10,7.5,0.02,-33.5,-0.10,-970,-1.94
325,Exit long,2025-06-09 18:00,WL-X,3345.9,1,33512,-56,-0.17,76.5,0.23,-54.5,-0.16,-1026,-2.05
325,Entry long,2025-06-09 11:25,W-Long,3351.2,1,33512,-56,-0.17,76.5,0.23,-54.5,-0.16,-1026,-2.05
326,Exit long,2025-06-10 21:45,WL-X,3352.3,1,33568,-48,-0.14,14.5,0.04,-46.5,-0.14,-1074,-2.15
326,Entry long,2025-06-10 21:20,W-Long,3356.8,1,33568,-48,-0.14,14.5,0.04,-46.5,-0.14,-1074,-2.15
327,Exit long,2025-06-13 13:45,WL-X,3447.6,1,34528,-55,-0.16,3.5,0.01,-53.5,-0.15,-1129,-2.26
327,Entry long,2025-06-13 13:20,W-Long,3452.8,1,34528,-55,-0.16,3.5,0.01,-53.5,-0.15,-1129,-2.26
328,Exit long,2025-06-15 20:50,WL-X,3454.3,1,34611,-71,-0.21,107.5,0.31,-69.5,-0.20,-1200,-2.40
328,Entry long,2025-06-15 18:05,W-Long,3461.1,1,34611,-71,-0.21,107.5,0.31,-69.5,-0.20,-1200,-2.40
329,Exit long,2025-06-16 19:40,WL-X,3414,1,34180,-43,-0.13,16.5,0.05,-41.5,-0.12,-1243,-2.49
329,Entry long,2025-06-16 19:30,W-Long,3418,1,34180,-43,-0.13,16.5,0.05,-41.5,-0.12,-1243,-2.49
330,Exit long,2025-06-17 18:30,WL-X,3409.9,1,34137,-41,-0.12,2.5,0.01,-39.5,-0.12,-1284,-2.57
330,Entry long,2025-06-17 18:05,W-Long,3413.7,1,34137,-41,-0.12,2.5,0.01,-39.5,-0.12,-1284,-2.57
331,Exit long,2025-06-20 13:15,WL-X,3385.8,1,33894,-39,-0.12,0,0.00,-37.5,-0.11,-1323,-2.65
331,Entry long,2025-06-20 12:45,W-Long,3389.4,1,33894,-39,-0.12,0,0.00,-37.5,-0.11,-1323,-2.65
