Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-10-18 09:30,VWAP X,1969.3,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
1,Entry long,2023-10-17 10:00,VWAP,1940.6,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
2,Exit long,2023-10-27 14:00,VWAP X,2014.6,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
2,Entry long,2023-10-19 13:00,VWAP,1974.3,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
3,Exit long,2023-11-10 06:15,Inst X,1954.5,1,19633,-91,-0.46,78.5,0.40,-89.5,-0.46,593,1.19
3,Entry long,2023-11-09 10:00,Inst,1963.3,1,19633,-91,-0.46,78.5,0.40,-89.5,-0.46,593,1.19
4,Exit long,2023-12-04 10:15,Inst X,2053.4,1,20622,-91,-0.44,899.5,4.36,-89.5,-0.43,502,1.00
4,Entry long,2023-12-01 10:00,Inst,2062.2,1,20622,-91,-0.44,899.5,4.36,-89.5,-0.43,502,1.00
5,Exit long,2023-12-05 04:00,Inst X,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,450,0.90
5,Entry long,2023-12-05 03:15,Inst,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,450,0.90
6,Exit long,2023-12-18 04:45,Inst X,2036.8,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,413,0.83
6,Entry long,2023-12-18 04:15,Inst,2040.2,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,413,0.83
7,Exit long,2023-12-18 09:15,Inst X,2035.5,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,365,0.73
7,Entry long,2023-12-18 09:00,Inst,2040,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,365,0.73
8,Exit long,2024-01-02 09:30,Inst X,2072.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,302,0.60
8,Entry long,2024-01-01 20:15,Inst,2078.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,302,0.60
9,Exit long,2024-01-02 10:30,Inst X,2069.1,1,20794,-106,-0.51,1.5,0.01,-104.5,-0.50,196,0.39
9,Entry long,2024-01-02 10:00,Inst,2079.4,1,20794,-106,-0.51,1.5,0.01,-104.5,-0.50,196,0.39
10,Exit long,2024-01-08 06:15,Inst X,2028.6,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,9,0.02
10,Entry long,2024-01-05 09:00,Inst,2047,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,9,0.02
11,Exit long,2024-01-16 22:15,Inst X,2029.7,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,-32,-0.06
11,Entry long,2024-01-16 20:45,Inst,2033.5,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,-32,-0.06
12,Exit long,2024-02-06 03:15,Inst X,2041,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,-78,-0.16
12,Entry long,2024-02-06 00:45,Inst,2045.3,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,-78,-0.16
13,Exit long,2024-02-08 07:00,Inst X,2041.4,1,20453,-42,-0.21,155.5,0.76,-40.5,-0.20,-120,-0.24
13,Entry long,2024-02-06 09:00,Inst,2045.3,1,20453,-42,-0.21,155.5,0.76,-40.5,-0.20,-120,-0.24
14,Exit long,2024-02-12 08:45,Inst X,2033.7,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,-194,-0.39
14,Entry long,2024-02-12 08:15,Inst,2040.8,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,-194,-0.39
15,Exit long,2024-02-13 08:30,Inst X,2033.9,1,20360,-24,-0.12,108.5,0.53,-22.5,-0.11,-218,-0.44
15,Entry long,2024-02-13 01:45,Inst,2036,1,20360,-24,-0.12,108.5,0.53,-22.5,-0.11,-218,-0.44
16,Exit long,2024-03-04 08:45,Inst X,2100,1,20323,674,3.32,675.5,3.32,-8.5,-0.04,456,0.91
16,Entry long,2024-02-23 06:00,Inst,2032.3,1,20323,674,3.32,675.5,3.32,-8.5,-0.04,456,0.91
17,Exit long,2024-03-19 04:15,Inst X,2154.3,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,407,0.81
17,Entry long,2024-03-18 05:15,Inst,2158.9,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,407,0.81
18,Exit long,2024-03-19 10:00,Inst X,2152.6,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,317,0.63
18,Entry long,2024-03-19 08:45,Inst,2161.3,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,317,0.63
19,Exit long,2024-04-02 15:45,Inst X,2300,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,1581,3.16
19,Entry long,2024-03-24 21:30,Inst,2173.3,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,1581,3.16
20,Exit long,2024-04-15 10:00,Inst X,2347.9,1,23589,-113,-0.48,897.5,3.80,-111.5,-0.47,1468,2.94
20,Entry long,2024-04-11 09:00,Inst,2358.9,1,23589,-113,-0.48,897.5,3.80,-111.5,-0.47,1468,2.94
21,Exit long,2024-05-15 21:00,Inst X,2400,1,23187,810,3.49,811.5,3.50,-14.5,-0.06,2278,4.56
21,Entry long,2024-05-09 06:45,Inst,2318.7,1,23187,810,3.49,811.5,3.50,-14.5,-0.06,2278,4.56
22,Exit long,2024-06-04 10:15,Inst X,2336.2,1,23459,-100,-0.43,294.5,1.26,-98.5,-0.42,2178,4.36
22,Entry long,2024-06-03 03:15,Inst,2345.9,1,23459,-100,-0.43,294.5,1.26,-98.5,-0.42,2178,4.36
23,Exit long,2024-06-07 04:00,VWAP X,2378.3,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,2063,4.13
23,Entry long,2024-06-06 11:15,VWAP,2389.5,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,2063,4.13
24,Exit long,2024-06-24 05:30,Inst X,2332.8,1,23396,-71,-0.30,56.5,0.24,-69.5,-0.30,1992,3.98
24,Entry long,2024-06-24 03:30,Inst,2339.6,1,23396,-71,-0.30,56.5,0.24,-69.5,-0.30,1992,3.98
25,Exit long,2024-06-25 21:30,Inst X,2327.2,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,1940,3.88
25,Entry long,2024-06-25 21:15,Inst,2332.1,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,1940,3.88
26,Exit long,2024-06-26 02:00,Inst X,2322.3,1,23328,-108,-0.46,2.5,0.01,-106.5,-0.46,1832,3.66
26,Entry long,2024-06-25 22:30,Inst,2332.8,1,23328,-108,-0.46,2.5,0.01,-106.5,-0.46,1832,3.66
27,Exit long,2024-07-24 21:15,Inst X,2391.1,1,23989,-81,-0.34,339.5,1.42,-79.5,-0.33,1751,3.50
27,Entry long,2024-07-23 04:00,Inst,2398.9,1,23989,-81,-0.34,339.5,1.42,-79.5,-0.33,1751,3.50
28,Exit long,2024-07-30 11:15,VWAP X,2429.8,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,1662,3.32
28,Entry long,2024-07-30 10:30,VWAP,2438.4,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,1662,3.32
29,Exit long,2024-08-01 13:00,VWAP X,2485.4,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,1555,3.11
29,Entry long,2024-08-01 10:45,VWAP,2495.8,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,1555,3.11
30,Exit long,2024-08-05 06:45,Inst X,2457.5,1,24748,-176,-0.71,258.5,1.04,-174.5,-0.71,1379,2.76
30,Entry long,2024-08-04 21:15,Inst,2474.8,1,24748,-176,-0.71,258.5,1.04,-174.5,-0.71,1379,2.76
31,Exit long,2024-08-05 22:45,Inst X,2447.5,1,24567,-95,-0.39,26.5,0.11,-93.5,-0.38,1284,2.57
31,Entry long,2024-08-05 20:45,Inst,2456.7,1,24567,-95,-0.39,26.5,0.11,-93.5,-0.38,1284,2.57
32,Exit long,2024-08-06 08:15,Inst X,2445.8,1,24542,-87,-0.35,27.5,0.11,-85.5,-0.35,1197,2.39
32,Entry long,2024-08-06 04:15,Inst,2454.2,1,24542,-87,-0.35,27.5,0.11,-85.5,-0.35,1197,2.39
33,Exit long,2024-08-13 22:00,VWAP X,2501.6,1,25133,-120,-0.48,20.5,0.08,-118.5,-0.47,1077,2.15
33,Entry long,2024-08-13 09:45,VWAP,2513.3,1,25133,-120,-0.48,20.5,0.08,-118.5,-0.47,1077,2.15
