Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
20,Entry long,2024-05-24 14:15,Long,18915.25,1,37830.5,-30.74,-0.08,20.88,0.06,-30.12,-0.08,56.7,0.11
21,Exit long,2024-05-27 09:45,Exit,18899.5,1,37813,-15.24,-0.04,1.88,0.00,-14.62,-0.04,41.46,0.08
21,Entry long,2024-05-27 09:45,Long,18906.5,1,37813,-15.24,-0.04,1.88,0.00,-14.62,-0.04,41.46,0.08
22,Exit long,2024-06-03 09:35,Exit,18705.75,1,37437.5,-27.24,-0.07,26.38,0.07,-26.62,-0.07,14.22,0.03
22,Entry long,2024-06-03 09:35,Long,18718.75,1,37437.5,-27.24,-0.07,26.38,0.07,-26.62,-0.07,14.22,0.03
23,Exit long,2024-06-03 09:50,Exit,18710.25,1,37450,-30.74,-0.08,60.38,0.16,-30.12,-0.08,-16.52,-0.03
23,Entry long,2024-06-03 09:40,Long,18725,1,37450,-30.74,-0.08,60.38,0.16,-30.12,-0.08,-16.52,-0.03
24,Exit long,2024-06-10 14:05,Exit,19087.75,1,38213.5,-39.24,-0.10,1.38,0.00,-38.62,-0.10,-55.76,-0.11
24,Entry long,2024-06-10 13:55,Long,19106.75,1,38213.5,-39.24,-0.10,1.38,0.00,-38.62,-0.10,-55.76,-0.11
25,Exit long,2024-06-11 14:25,Exit,19208.5,1,38310.5,105.26,0.27,105.88,0.28,-7.12,-0.02,49.5,0.10
25,Entry long,2024-06-11 14:10,Long,19155.25,1,38310.5,105.26,0.27,105.88,0.28,-7.12,-0.02,49.5,0.10
26,Exit long,2024-06-11 14:40,Exit,19203.75,1,38446.5,-40.24,-0.10,4.88,0.01,-39.62,-0.10,9.26,0.02
26,Entry long,2024-06-11 14:35,Long,19223.25,1,38446.5,-40.24,-0.10,4.88,0.01,-39.62,-0.10,9.26,0.02
27,Exit long,2024-06-13 09:40,Exit,19639.25,1,39316,-38.74,-0.10,10.88,0.03,-38.12,-0.10,-29.48,-0.06
27,Entry long,2024-06-13 09:40,Long,19658,1,39316,-38.74,-0.10,10.88,0.03,-38.12,-0.10,-29.48,-0.06
28,Exit long,2024-06-13 09:55,Exit,19622,1,39282.5,-39.74,-0.10,36.38,0.09,-39.12,-0.10,-69.22,-0.14
28,Entry long,2024-06-13 09:45,Long,19641.25,1,39282.5,-39.74,-0.10,36.38,0.09,-39.12,-0.10,-69.22,-0.14
29,Exit long,2024-06-13 10:10,Exit,19609.75,1,39262,-43.74,-0.11,39.88,0.10,-43.12,-0.11,-112.96,-0.23
29,Entry long,2024-06-13 10:00,Long,19631,1,39262,-43.74,-0.11,39.88,0.10,-43.12,-0.11,-112.96,-0.23
30,Exit long,2024-06-14 10:00,Exit,19609.25,1,39254.5,-37.24,-0.09,38.88,0.10,-36.62,-0.09,-150.2,-0.30
30,Entry long,2024-06-14 09:55,Long,19627.25,1,39254.5,-37.24,-0.09,38.88,0.10,-36.62,-0.09,-150.2,-0.30
31,Exit long,2024-06-14 10:10,Exit,19589.75,1,39217.5,-39.24,-0.10,43.88,0.11,-38.62,-0.10,-189.44,-0.38
31,Entry long,2024-06-14 10:05,Long,19608.75,1,39217.5,-39.24,-0.10,43.88,0.11,-38.62,-0.10,-189.44,-0.38
32,Exit long,2024-06-14 10:35,Exit,19574,1,39190.5,-43.74,-0.11,106.88,0.27,-43.12,-0.11,-233.18,-0.47
32,Entry long,2024-06-14 10:15,Long,19595.25,1,39190.5,-43.74,-0.11,106.88,0.27,-43.12,-0.11,-233.18,-0.47
33,Exit long,2024-06-17 13:40,Exit,20212.25,1,40315,108.26,0.27,108.88,0.27,-12.12,-0.03,-124.92,-0.25
33,Entry long,2024-06-17 13:25,Long,20157.5,1,40315,108.26,0.27,108.88,0.27,-12.12,-0.03,-124.92,-0.25
34,Exit long,2024-06-17 14:00,Exit,20251.25,1,40387,114.26,0.28,114.88,0.28,-2.62,-0.01,-10.66,-0.02
34,Entry long,2024-06-17 13:45,Long,20193.5,1,40387,114.26,0.28,114.88,0.28,-2.62,-0.01,-10.66,-0.02
35,Exit long,2024-06-17 14:10,Exit,20243,1,40529,-44.24,-0.11,13.38,0.03,-43.62,-0.11,-54.9,-0.11
35,Entry long,2024-06-17 14:10,Long,20264.5,1,40529,-44.24,-0.11,13.38,0.03,-43.62,-0.11,-54.9,-0.11
36,Exit long,2024-06-27 09:40,Exit,20074,1,40185.5,-38.74,-0.10,7.38,0.02,-38.12,-0.09,-93.64,-0.19
36,Entry long,2024-06-27 09:40,Long,20092.75,1,40185.5,-38.74,-0.10,7.38,0.02,-38.12,-0.09,-93.64,-0.19
37,Exit long,2024-06-27 09:50,Exit,20054.25,1,40150,-42.74,-0.11,39.38,0.10,-42.12,-0.10,-136.38,-0.27
37,Entry long,2024-06-27 09:45,Long,20075,1,40150,-42.74,-0.11,39.38,0.10,-42.12,-0.10,-136.38,-0.27
38,Exit long,2024-06-27 10:45,Exit,20041.75,1,40142,-59.74,-0.15,44.38,0.11,-59.12,-0.15,-196.12,-0.39
38,Entry long,2024-06-27 10:20,Long,20071,1,40142,-59.74,-0.15,44.38,0.11,-59.12,-0.15,-196.12,-0.39
39,Exit long,2024-06-28 10:40,Exit,20194.5,1,40439.5,-51.74,-0.13,106.38,0.26,-51.12,-0.13,-247.86,-0.50
39,Entry long,2024-06-28 10:05,Long,20219.75,1,40439.5,-51.74,-0.13,106.38,0.26,-51.12,-0.13,-247.86,-0.50
40,Exit long,2024-07-02 09:45,Exit,20095.5,1,40078,111.76,0.28,112.38,0.28,-24.62,-0.06,-136.1,-0.27
40,Entry long,2024-07-02 09:40,Long,20039,1,40078,111.76,0.28,112.38,0.28,-24.62,-0.06,-136.1,-0.27
41,Exit long,2024-07-02 10:00,Exit,20037.75,1,40121.5,-47.24,-0.12,34.88,0.09,-46.62,-0.12,-183.34,-0.37
41,Entry long,2024-07-02 09:50,Long,20060.75,1,40121.5,-47.24,-0.12,34.88,0.09,-46.62,-0.12,-183.34,-0.37
42,Exit long,2024-07-02 10:10,Exit,20045.25,1,40143,-53.74,-0.13,36.38,0.09,-53.12,-0.13,-237.08,-0.47
42,Entry long,2024-07-02 10:05,Long,20071.5,1,40143,-53.74,-0.13,36.38,0.09,-53.12,-0.13,-237.08,-0.47
43,Exit long,2024-07-02 13:35,Exit,20163.5,1,40366,-40.24,-0.10,8.88,0.02,-39.62,-0.10,-277.32,-0.55
43,Entry long,2024-07-02 13:20,Long,20183,1,40366,-40.24,-0.10,8.88,0.02,-39.62,-0.10,-277.32,-0.55
44,Exit long,2024-07-03 02:10,Exit,20261.25,1,40418,103.26,0.26,103.88,0.26,-11.12,-0.03,-174.06,-0.35
44,Entry long,2024-07-02 14:00,Long,20209,1,40418,103.26,0.26,103.88,0.26,-11.12,-0.03,-174.06,-0.35
45,Exit long,2024-07-05 09:40,Exit,20466,1,40973,-42.24,-0.10,12.88,0.03,-41.62,-0.10,-216.3,-0.43
45,Entry long,2024-07-05 09:40,Long,20486.5,1,40973,-42.24,-0.10,12.88,0.03,-41.62,-0.10,-216.3,-0.43
46,Exit long,2024-07-05 10:05,Exit,20489.5,1,41029,-51.24,-0.12,59.38,0.14,-50.62,-0.12,-267.54,-0.54
46,Entry long,2024-07-05 10:00,Long,20514.5,1,41029,-51.24,-0.12,59.38,0.14,-50.62,-0.12,-267.54,-0.54
47,Exit long,2024-07-08 11:35,Exit,20640.5,1,41316.5,-36.74,-0.09,21.88,0.05,-36.12,-0.09,-304.28,-0.61
47,Entry long,2024-07-08 11:25,Long,20658.25,1,41316.5,-36.74,-0.09,21.88,0.05,-36.12,-0.09,-304.28,-0.61
48,Exit long,2024-07-09 09:45,Exit,20730.5,1,41487.5,-27.74,-0.07,5.88,0.01,-27.12,-0.07,-332.02,-0.66
48,Entry long,2024-07-09 09:45,Long,20743.75,1,41487.5,-27.74,-0.07,5.88,0.01,-27.12,-0.07,-332.02,-0.66
49,Exit long,2024-07-09 10:25,Exit,20714.25,1,41463,-35.74,-0.09,79.88,0.19,-35.12,-0.08,-367.76,-0.74
49,Entry long,2024-07-09 10:10,Long,20731.5,1,41463,-35.74,-0.09,79.88,0.19,-35.12,-0.08,-367.76,-0.74
50,Exit long,2024-07-12 10:30,Exit,20596.25,1,41031,160.26,0.39,160.88,0.39,-33.12,-0.08,-207.5,-0.41
50,Entry long,2024-07-12 09:55,Long,20515.5,1,41031,160.26,0.39,160.88,0.39,-33.12,-0.08,-207.5,-0.41
51,Exit long,2024-07-12 11:55,Exit,20592.25,1,41247,-63.74,-0.15,91.38,0.22,-63.12,-0.15,-271.24,-0.54
51,Entry long,2024-07-12 10:40,Long,20623.5,1,41247,-63.74,-0.15,91.38,0.22,-63.12,-0.15,-271.24,-0.54
52,Exit long,2024-07-12 13:55,Exit,20708,1,41461.5,-46.74,-0.11,19.88,0.05,-46.12,-0.11,-317.98,-0.64
52,Entry long,2024-07-12 13:50,Long,20730.75,1,41461.5,-46.74,-0.11,19.88,0.05,-46.12,-0.11,-317.98,-0.64
53,Exit long,2024-07-15 11:00,Exit,20748.5,1,41336.5,159.26,0.39,159.88,0.39,-38.12,-0.09,-158.72,-0.32
53,Entry long,2024-07-15 10:10,Long,20668.25,1,41336.5,159.26,0.39,159.88,0.39,-38.12,-0.09,-158.72,-0.32
54,Exit long,2024-07-22 09:55,Exit,19984.75,1,40025.5,-57.24,-0.14,3.38,0.01,-56.62,-0.14,-215.96,-0.43
54,Entry long,2024-07-22 09:55,Long,20012.75,1,40025.5,-57.24,-0.14,3.38,0.01,-56.62,-0.14,-215.96,-0.43
55,Exit long,2024-07-22 10:00,Exit,19941.5,1,39940.5,-58.74,-0.15,20.88,0.05,-58.12,-0.15,-274.7,-0.55
55,Entry long,2024-07-22 10:00,Long,19970.25,1,39940.5,-58.74,-0.15,20.88,0.05,-58.12,-0.15,-274.7,-0.55
56,Exit long,2024-07-23 09:45,Exit,20009.5,1,40063,-45.24,-0.11,3.88,0.01,-44.62,-0.11,-319.94,-0.64
56,Entry long,2024-07-23 09:45,Long,20031.5,1,40063,-45.24,-0.11,3.88,0.01,-44.62,-0.11,-319.94,-0.64
57,Exit long,2024-07-23 09:50,Exit,20007.25,1,40062,-48.74,-0.12,2.38,0.01,-48.12,-0.12,-368.68,-0.74
57,Entry long,2024-07-23 09:50,Long,20031,1,40062,-48.74,-0.12,2.38,0.01,-48.12,-0.12,-368.68,-0.74
58,Exit long,2024-08-01 10:00,Exit,19605,1,39281,-72.24,-0.18,52.88,0.13,-71.62,-0.18,-440.92,-0.88
58,Entry long,2024-08-01 10:00,Long,19640.5,1,39281,-72.24,-0.18,52.88,0.13,-71.62,-0.18,-440.92,-0.88
59,Exit long,2024-08-01 10:05,Exit,19568.5,1,39211.5,-75.74,-0.19,25.38,0.06,-75.12,-0.19,-516.66,-1.03
59,Entry long,2024-08-01 10:05,Long,19605.75,1,39211.5,-75.74,-0.19,25.38,0.06,-75.12,-0.19,-516.66,-1.03
60,Exit long,2024-08-08 09:35,Exit,18174,1,36427.5,-80.74,-0.22,31.38,0.09,-80.12,-0.22,-597.4,-1.19
60,Entry long,2024-08-08 09:35,Long,18213.75,1,36427.5,-80.74,-0.22,31.38,0.09,-80.12,-0.22,-597.4,-1.19
61,Exit long,2024-08-08 09:45,Exit,18126.75,1,36340.5,-88.24,-0.24,61.88,0.17,-87.62,-0.24,-685.64,-1.37
